[2026-09-14 13:07:14] Connected to COM5 at 115200 baud
[2026-09-14 13:07:15] Arduino: 3-Channel Syringe Pump Controller Started
[2026-09-14 13:07:15] Arduino: Initialization complete. Ready for triggers.
[2026-09-14 13:07:15] Arduino: Pump 1, Magnitude 14, Volume 420.0 uL
[2026-09-14 13:07:18] Complete: Pump 1 delivered 420.0 uL at 2.545 mm (F)
[2026-09-14 13:07:38] Simulation mode enabled
[2026-09-14 13:07:38] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:13:44] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:13:46] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:13:48] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:13:50] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:13:52] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:13:54] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:13:56] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:13:58] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:14:00] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:14:02] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:14:04] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:14:06] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:14:08] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:14:10] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:14:12] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:14:14] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:14:16] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:14:18] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:14:20] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:14:22] Pump 1: Reached min position, reversing direction
[2026-09-14 13:14:22] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:14:24] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:14:26] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:14:28] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:14:30] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:14:32] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:14:34] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:14:36] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:14:38] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:14:41] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:14:43] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:14:45] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:14:47] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:14:49] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:14:51] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:14:53] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:14:55] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:14:57] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:14:59] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:15:01] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:15:03] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:15:05] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:15:07] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:15:09] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:15:11] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:15:13] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:15:15] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:15:17] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:15:19] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:15:21] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:15:23] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:15:25] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:15:27] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:15:29] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:15:31] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:15:33] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:15:35] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:15:37] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:15:39] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:15:41] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:15:43] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:15:45] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:15:47] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:15:49] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:15:51] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:15:53] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:15:55] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:15:57] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:15:59] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:16:01] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:16:03] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:16:05] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:16:07] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:16:09] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:16:11] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:16:13] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:16:15] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:16:17] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:16:19] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:16:21] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:16:23] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:16:25] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:16:27] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:16:29] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:16:31] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:16:33] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:16:35] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:16:37] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:16:39] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:16:41] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:16:43] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:16:45] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:16:47] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:16:49] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:16:51] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:16:53] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:16:55] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:16:57] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:16:59] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:17:01] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:17:04] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:17:06] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:17:08] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:17:10] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:17:12] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:17:14] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:17:16] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:17:18] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:17:20] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:17:22] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:17:24] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:17:26] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:17:28] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:17:30] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:17:32] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:17:34] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:17:36] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:17:38] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:17:40] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:17:42] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:17:44] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:17:46] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:17:48] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:17:50] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:17:52] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:17:54] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:17:56] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:17:58] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:18:00] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:18:02] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:18:04] Trigger: Pump 2, Magnitude 11
[2026-09-14 13:18:06] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:18:08] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:18:10] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:18:12] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:18:14] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:18:16] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:18:18] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:18:20] Trigger: Pump 2, Magnitude 13
[2026-09-14 13:18:22] Trigger: Pump 1, Magnitude 4
[2026-09-14 13:18:24] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:18:26] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:18:28] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:18:30] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:18:32] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:18:34] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:18:36] Trigger: Pump 3, Magnitude 8
[2026-09-14 13:18:38] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:18:40] Trigger: Pump 3, Magnitude 2
[2026-09-14 13:18:42] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:18:44] Trigger: Pump 3, Magnitude 10
[2026-09-14 13:18:46] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:18:48] Trigger: Pump 1, Magnitude 6
[2026-09-14 13:18:50] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:18:52] Trigger: Pump 3, Magnitude 4
[2026-09-14 13:18:54] Trigger: Pump 2, Magnitude 1
[2026-09-14 13:18:56] Trigger: Pump 1, Magnitude 10
[2026-09-14 13:18:58] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:19:00] Trigger: Pump 2, Magnitude 7
[2026-09-14 13:19:02] Trigger: Pump 2, Magnitude 5
[2026-09-14 13:19:04] Trigger: Pump 3, Magnitude 6
[2026-09-14 13:19:06] Trigger: Pump 1, Magnitude 16
[2026-09-14 13:19:08] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:19:10] Trigger: Pump 1, Magnitude 2
[2026-09-14 13:19:12] Trigger: Pump 1, Magnitude 12
[2026-09-14 13:19:14] Trigger: Pump 3, Magnitude 12
[2026-09-14 13:19:16] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:19:18] Trigger: Pump 2, Magnitude 15
[2026-09-14 13:19:20] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:19:22] Trigger: Pump 2, Magnitude 3
[2026-09-14 13:19:24] Trigger: Pump 2, Magnitude 9
[2026-09-14 13:19:26] Trigger: Pump 1, Magnitude 8
[2026-09-14 13:19:28] Trigger: Pump 1, Magnitude 14
[2026-09-14 13:19:30] Trigger: Pump 3, Magnitude 14
[2026-09-14 13:19:33] Trigger: Pump 3, Magnitude 16
[2026-09-14 13:19:34] Simulation mode disabled
[2026-09-14 13:20:06] Arduino: Pump 1, Magnitude 1, Volume 30.0 uL
[2026-09-14 13:20:06] Complete: Pump 1 delivered 30.0 uL at 2.727 mm (F)
[2026-09-14 13:20:11] Arduino: Pump 1, Magnitude 2, Volume 60.0 uL
[2026-09-14 13:20:12] Complete: Pump 1 delivered 60.0 uL at 3.091 mm (F)
[2026-09-14 13:20:17] Arduino: Pump 1, Magnitude 3, Volume 90.0 uL
[2026-09-14 13:20:17] Complete: Pump 1 delivered 90.0 uL at 3.636 mm (F)
[2026-09-14 13:20:22] Arduino: Pump 1, Magnitude 4, Volume 120.0 uL
[2026-09-14 13:20:23] Complete: Pump 1 delivered 120.0 uL at 4.364 mm (F)
[2026-09-14 13:20:27] Arduino: Pump 1, Magnitude 5, Volume 150.0 uL
[2026-09-14 13:20:28] Complete: Pump 1 delivered 150.0 uL at 5.273 mm (F)
[2026-09-14 13:20:32] Arduino: Pump 1, Magnitude 6, Volume 180.0 uL
[2026-09-14 13:20:34] Complete: Pump 1 delivered 180.0 uL at 6.364 mm (F)
[2026-09-14 13:20:49] Disconnected

