[2026-09-16 16:05:19] Connected to COM5 at 115200 baud
[2026-09-16 16:05:20] Pump 1: Synced unit size to 5.000 uL
[2026-09-16 16:05:20] Pump 2: Synced unit size to 10.000 uL
[2026-09-16 16:05:20] Pump 3: Synced unit size to 10.000 uL
[2026-09-16 16:05:23] Simulation mode enabled
[2026-09-16 16:05:23] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:57] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:57] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:57] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:05:59] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:05:59] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:05:59] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:01] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:01] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:01] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:03] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:03] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:03] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:05] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:05] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:05] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:07] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:07] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:07] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:09] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:09] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:09] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:11] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:11] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:11] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:13] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:13] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:13] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:15] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:15] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:15] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:17] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:17] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:17] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:19] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:19] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:19] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:21] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:21] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:21] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:23] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:23] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:23] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:25] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:25] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:25] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:27] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:27] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:27] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:29] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:29] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:29] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:31] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:31] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:31] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:33] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:33] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:33] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:35] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:35] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:35] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:37] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:37] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:37] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:39] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:39] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:39] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:41] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:41] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:41] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:43] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:43] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:43] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:45] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:45] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:45] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:47] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:47] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:47] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:49] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:49] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:49] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:51] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:51] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:51] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:53] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:53] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:53] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:55] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:55] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:55] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:57] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:57] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:57] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:06:59] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:06:59] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:06:59] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:01] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:01] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:01] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:03] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:03] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:03] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:05] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:05] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:05] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:07] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:07] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:07] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:09] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:09] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:09] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:11] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:11] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:11] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:13] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:13] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:13] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:15] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:15] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:15] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:17] [SIMULATED] Pump 1, Magnitude 2
[2026-09-16 16:07:17] Trigger: Pump 1, Magnitude 2
[2026-09-16 16:07:17] [SIMULATION] Sent trigger to Arduino: Pump 1, Magnitude 2
[2026-09-16 16:07:19] Disconnected

